conf_name,market,school_city,first_name,last_name,birthplace_city,birthplace_state,birthplace_country,FGM,Steals,Three_PTM,FTM,Blocks,Offensive_Reb,Assists,Defensive_Reb,Fouls,FT_Miss,FG_Miss,Turnovers,Minutes,team_games_played_2017,games_played_on_team,attendance,avg_mins_per_game
Summit League,IPFW,"Fort Wayne, IN, USA",JOHN,KONCHAR,West Chicago,IL, USA,177,81,66,70,23,66,155,201,49,37,192,54,1178,33,33,1,35.7
America East,New Hampshire,"Durham, NH, USA",JOHN,OGWUCHE,Makurdi,, NGA,59,14,30,30,6,21,29,66,41,8,87,25,671,31,30,0.97,21.65
Southeastern,Alabama,"Tuscaloosa, AL, USA",JOHN,PETTY,Huntsville,AL, USA,123,17,90,32,9,13,65,78,36,13,190,74,1026,36,36,1,28.5
West Coast,Gonzaga,"Spokane, WA, USA",JOHNATHAN,WILLIAMS,Memphis,TN, USA,197,27,8,94,40,87,59,226,99,80,153,80,1079,37,37,1,29.16
Sun Belt,Texas-Arlington,"Arlington, TX, USA",JOHNNY,HAMILTON,Rio Claro,, TTO,146,17,0,87,77,99,19,175,84,44,86,64,794,34,34,1,23.35
Mid Eastern Athletic,Delaware State,"Dover, DE, USA",JOHQUIN,WILEY,Chesterfield,VA, USA,98,48,40,36,1,10,90,50,35,19,173,83,1144,32,32,1,35.75
Big Sky,Northern Arizona,"Flagstaff, AZ, USA",JOJO,ANDERSON,Houston,TX, USA,72,15,38,130,2,7,62,42,41,30,136,65,708,32,28,0.88,22.13
Northeast,Wagner,"Staten Island, NY, USA",JOJO,COOPER,Wilmington,DE, USA,158,48,39,116,1,38,201,135,65,41,218,109,1202,33,33,1,36.42
West Coast,Portland,"Portland, OR, USA",JOJO,WALKER,Carolina,, PRI,74,30,33,69,0,6,78,60,59,29,117,63,811,32,32,1,25.34
Conference USA,Charlotte,"Charlotte, NC, USA",JON,DAVIS,Upper Marlboro,MD, USA,159,27,48,143,9,25,160,85,42,38,247,114,1051,29,29,1,36.24
Conference USA,Marshall,"Huntington, WV, USA",JON,ELMORE,Charleston,WV, USA,243,58,98,232,13,15,242,194,51,49,311,132,1380,36,36,1,38.33
Northeast,Robert Morris,"Moon Township, PA, USA",JON,WILLIAMS,Akron,OH, USA,71,19,58,21,0,5,114,67,77,7,111,84,1044,33,33,1,31.64
Atlantic 10,Davidson,"Davidson, NC, USA",JON AXEL,GUDMUNDSSON,Grindavik,, ISL,144,44,63,86,1,14,167,185,56,22,169,72,1182,33,33,1,35.82
Northeast,Mount St. Mary's,"Emmitsburg, MD, USA",JONAH,ANTONIO,Perth,, AUS,122,41,90,29,18,14,21,107,33,7,211,19,1071,32,32,1,33.47
Pacific 12,USC,"Los Angeles, CA, USA",JONAH,MATHEWS,Santa Monica,CA, USA,115,19,58,27,5,21,32,67,59,18,136,28,921,36,34,0.94,25.58
Big Sky,Northern Colorado,"Greeley, CO, USA",JONAH,RADEBAUGH,Thornton,CO, USA,99,40,63,41,12,44,50,183,72,20,113,33,1351,38,38,1,35.55
Big South,UNC Asheville,"Asheville, NC, USA",JONATHAN,BAEHRE,Hessen,, DEU,103,22,25,21,61,54,33,103,85,5,88,39,741,34,34,1,21.79
Ohio Valley,Southeast Missouri State,"Cape Girardeau, MO, USA",JONATHAN,DALTON,New Orleans,LA, USA,51,38,19,42,0,19,168,50,52,20,56,62,998,31,31,1,32.19
Big West,UC Irvine,"Irvine, CA, USA",JONATHAN,GALLOWAY,Brentwood,CA, USA,51,17,0,25,47,78,18,186,98,18,57,45,893,35,35,1,25.51
Metro Atlantic Athletic,Fairfield,"Bridgeport, CT, USA",JONATHAN,KASIBABU,Kinshasa,, COD,104,13,9,72,35,58,37,120,93,35,50,53,681,33,32,0.97,20.64
Big East,Georgetown,"Washington, DC, USA",JONATHAN,MULMORE,New Orleans,LA, USA,45,29,15,63,5,11,102,52,79,19,53,56,683,30,30,1,22.77
Ohio Valley,Murray State,"Murray, KY, USA",JONATHAN,STARK,Munford,TN, USA,221,43,110,133,6,12,126,73,50,16,269,78,1165,32,32,1,36.41
Mid Eastern Athletic,Delaware State,"Dover, DE, USA",JONATHAN,WALKER,Atlanta,GA, USA,78,30,17,42,3,22,57,32,46,18,103,52,708,32,27,0.84,22.13
Atlantic 10,Virginia Commonwealth,"Richmond, VA, USA",JONATHAN,WILLIAMS,Richmond,VA, USA,90,43,18,98,4,9,182,71,37,27,136,69,932,33,32,0.97,28.24
Southeastern,Missouri,"Columbia, MO, USA",JONTAY,PORTER,Columbia,MO, USA,104,28,40,78,55,50,74,174,97,26,134,63,808,33,33,1,24.48
Summit League,Oral Roberts,"Tulsa, OK, USA",JONTRAY,HARRIS,Austin,TX, USA,60,11,26,30,3,39,48,88,43,5,88,32,681,32,29,0.91,21.28
Metro Atlantic Athletic,Rider,"Lawrenceville, NJ, USA",JORDAN,ALLEN,Dover,DE, USA,143,26,92,54,12,26,22,87,51,11,229,43,909,32,32,1,28.41
Missouri Valley,Indiana State,"Terre Haute, IN, USA",JORDAN,BARNES,St. Louis,MO, USA,168,37,117,87,2,10,113,111,80,15,237,86,1041,31,31,1,33.58
Southeastern,Missouri,"Columbia, MO, USA",JORDAN,BARNETT,St. Louis,MO, USA,142,23,82,73,19,50,35,139,51,9,174,50,1091,33,32,0.97,33.06
Horizon,Illinois-Chicago,"Chicago, IL, USA",JORDAN,BLOUNT,Cork,, IRL,98,39,16,32,17,57,84,189,119,17,113,102,898,36,36,1,24.94
Big Ten,Iowa,"Iowa City, IA, USA",JORDAN,BOHANNON,Marion,IA, USA,137,22,96,75,0,4,178,70,59,8,187,68,1050,33,33,1,31.82
Southeastern,Tennessee,"Knoxville, TN, USA",JORDAN,BONE,Nashville,TN, USA,92,26,27,46,2,8,124,64,39,10,143,44,808,35,35,1,23.09
Southeastern,Tennessee,"Knoxville, TN, USA",JORDAN,BOWDEN,Knoxville,TN, USA,98,39,51,73,11,32,66,94,83,26,151,39,978,35,35,1,27.94
Patriot League,Colgate,"Hamilton, NY, USA",JORDAN,BURNS,San Antonio,TX, USA,135,25,42,58,3,14,91,68,33,18,179,79,847,33,31,0.94,25.67
Southland,Southeastern Louisiana,"Hammond, LA, USA",JORDAN,CAPPS,Norcross,GA, USA,178,15,18,67,31,37,17,105,74,55,151,63,693,34,33,0.97,20.38
Mountain West,Nevada,"Reno, NV, USA",JORDAN,CAROLINE,Champaign,IL, USA,221,26,36,178,6,98,82,221,85,73,245,71,1289,37,37,1,34.84
Atlantic Coast,Boston College,"Chestnut Hill, MA, USA",JORDAN,CHATMAN,Vancouver,WA, USA,140,23,87,71,1,16,54,84,57,9,197,27,1250,35,34,0.97,35.71
Patriot League,Lehigh,"Bethlehem, PA, USA",JORDAN,COHEN,Tarzana,CA, USA,100,27,22,48,8,28,71,75,41,5,107,37,737,30,29,0.97,24.57
American Athletic,Tulane,"New Orleans, LA, USA",JORDAN,CORNISH,New Orleans,LA, USA,103,11,41,60,10,12,101,88,46,26,172,74,937,31,31,1,30.23
Mid-American,Ohio,"Athens, OH, USA",JORDAN,DARTIS,Newark,OH, USA,124,34,78,55,4,12,62,91,55,10,164,40,886,31,29,0.94,28.58
Atlantic 10,Dayton,"Dayton, OH, USA",JORDAN,DAVIS,Irmo,SC, USA,88,32,56,17,4,6,57,51,27,6,120,23,891,31,31,1,28.74
Big Sky,Northern Colorado,"Greeley, CO, USA",JORDAN,DAVIS,Las Vegas,NV, USA,236,36,16,132,15,39,121,143,81,75,222,116,1105,38,38,1,29.08
Southwestern Athletic,Mississippi Valley State,"Itta Bena, MS, USA",JORDAN,EVANS,Waco,TX, USA,158,33,56,97,1,28,64,69,73,33,273,63,960,32,32,1,30
West Coast,Saint Mary's,"Moraga, CA, USA",JORDAN,FORD,Folsom,CA, USA,150,31,51,49,2,17,58,80,48,16,145,31,988,36,36,1,27.44
Patriot League,Army,"West Point, NY, USA",JORDAN,FOX,Jackson County,KY, USA,139,23,78,55,3,19,126,104,64,13,204,62,898,30,30,1,29.93
Horizon,Northern Kentucky,"Highland Heights, KY, USA",JORDAN,GARNETT,Indianapolis,IN, USA,75,28,39,24,13,29,64,71,72,11,84,34,935,32,32,1,29.22
Southeastern,Missouri,"Columbia, MO, USA",JORDAN,GEIST,Fort Wayne,IN, USA,73,27,33,63,0,19,95,108,65,27,94,57,860,33,33,1,26.06
Western Athletic,UMKC,"Kansas City, MO, USA",JORDAN,GILES,Tuscaloosa,AL, USA,92,18,17,106,10,32,30,68,89,36,119,77,664,32,30,0.94,20.75
Atlantic 10,Saint Louis,"St. Louis, MO, USA",JORDAN,GOODWIN,Centreville,IL, USA,108,52,19,65,16,68,103,127,60,29,182,56,867,33,26,0.79,26.27
Western Athletic,Seattle,"Seattle, WA, USA",JORDAN,HILL,Pasadena,CA, USA,150,41,74,78,14,19,114,107,73,23,228,99,1112,34,33,0.97,32.71
Southland,Central Arkansas,"Conway, AR, USA",JORDAN,HOWARD,Chandler,AZ, USA,280,36,113,207,0,10,93,115,36,26,333,80,1259,35,35,1,35.97
Mountain West,UNLV,"Paradise, NV, USA",JORDAN,JOHNSON,Waukegan,IL, USA,124,39,49,153,8,15,199,78,72,29,166,90,1132,33,33,1,34.3
Atlantic Sun,Kennesaw State,"Kennesaw, GA, USA",JORDAN,JONES,Alpharetta,GA, USA,82,20,0,29,11,31,33,111,71,16,67,28,661,30,30,1,22.03
Pacific 12,USC,"Los Angeles, CA, USA",JORDAN,MCLAUGHLIN,Etiwanda,CA, USA,159,72,54,88,8,26,281,106,39,30,195,92,1270,36,36,1,35.28
Big Ten,Minnesota,"Minneapolis, MN, USA",JORDAN,MURPHY,San Antonio,TX, USA,202,39,11,123,32,129,45,232,81,53,183,83,1019,32,32,1,31.84
Mid-American,Eastern Michigan,"Ypsilanti, MI, USA",JORDAN,NOBLES,Canton,MI, USA,60,24,38,6,13,16,27,69,62,3,81,20,792,35,35,1,22.63
Mid Eastern Athletic,North Carolina Central,"Durham, NC, USA",JORDAN,PERKINS,Greensboro,NC, USA,103,21,21,65,9,24,190,78,93,26,131,95,954,35,35,1,27.26
West Coast,San Francisco,"San Francisco, CA, USA",JORDAN,RATINHO,Livermore,CA, USA,142,28,86,46,16,32,48,98,79,29,179,32,1206,39,39,1,30.92
America East,New Hampshire,"Durham, NH, USA",JORDAN,REED,Lucas,TX, USA,69,14,49,11,4,14,55,57,42,2,140,46,758,31,27,0.87,24.45
Big Sky,Idaho,"Moscow, ID, USA",JORDAN,SCOTT,Colorado Springs,CO, USA,58,8,22,33,18,57,51,103,53,12,64,40,925,31,31,1,29.84
Sun Belt,Georgia State,"Atlanta, GA, USA",JORDAN,SESSION,McDonough,GA, USA,102,44,6,51,42,73,31,137,108,45,85,47,910,35,35,1,26
Southern,Mercer,"Macon, GA, USA",JORDAN,STRAWBERRY,Santa Ana,CA, USA,122,24,50,106,2,22,166,98,47,15,208,58,1047,34,34,1,30.79
Patriot League,Colgate,"Hamilton, NY, USA",JORDAN,SWOPSHIRE,O'Fallon,MO, USA,127,18,77,64,8,40,41,125,44,18,181,46,921,33,33,1,27.91
Big Sky,Sacramento State,"Sacramento, CA, USA",JORDAN,TOLBERT,Houston,TX, USA,116,37,49,41,0,14,73,73,44,9,169,61,781,32,32,1,24.41
Ohio Valley,Morehead State,"Morehead, KY, USA",JORDAN,WALKER,Indianapolis,IN, USA,111,35,43,88,8,19,77,73,70,31,178,75,916,29,29,1,31.59
Big South,High Point,"High Point, NC, USA",JORDAN,WHITEHEAD,Morris Plains,NJ, USA,68,19,0,20,5,63,21,73,58,22,46,19,623,30,30,1,20.77
Sun Belt,Louisiana-Monroe,"Monroe, LA, USA",JORDON,HARRIS,San Antonio,TX, USA,95,36,41,20,1,20,104,51,39,7,169,60,862,32,32,1,26.94
Colonial,North Carolina-Wilmington,"Wilmington, NC, USA",JORDON,TALLEY,Richmond,VA, USA,179,30,75,91,2,16,176,71,80,22,244,78,939,32,31,0.97,29.34
Sun Belt,Troy,"Troy, AL, USA",JORDON,VARNADO,Brownsville,TN, USA,174,18,26,93,36,49,44,134,69,33,190,56,810,33,26,0.79,24.55
Southern,UNC Greensboro,"Greensboro, NC, USA",JORDY,KUIPER,Groningen,, NLD,87,21,39,28,11,58,38,106,74,15,133,40,930,35,34,0.97,26.57
Atlantic Coast,Georgia Tech,"Atlanta, GA, USA",JOSE,ALVARADO,Brooklyn,NY, USA,99,43,40,65,2,15,77,78,54,16,122,59,874,32,25,0.78,27.31
Atlantic 10,Fordham,"Bronx, NY, USA",JOSEPH,CHARTOUNY,Saint-Hubert,QC, CAN,114,97,40,85,10,22,134,140,67,37,193,69,1043,31,29,0.94,33.65
Southland,Texas A&M-CC,"Corpus Christi, TX, USA",JOSEPH,KILGORE,Houston,TX, USA,183,52,37,137,18,28,96,135,53,36,268,86,1019,29,29,1,35.14
Northeast,Sacred Heart,"Fairfield, CT, USA",JOSEPH,LOPEZ,Miami,FL, USA,157,19,1,49,13,104,27,171,64,60,169,64,802,31,30,0.97,25.87
Sun Belt,South Alabama,"Mobile, AL, USA",JOSH,AJAYI,El Monte,CA, USA,144,16,13,99,13,55,31,151,57,34,152,70,919,32,31,0.97,28.72
American Athletic,Temple,"Philadelphia, PA, USA",JOSH,BROWN,Newark,NJ, USA,111,28,31,48,11,23,111,104,68,18,155,56,1094,33,33,1,33.15
Atlantic 10,Dayton,"Dayton, OH, USA",JOSH,CUNNINGHAM,Chicago,IL, USA,186,16,8,103,13,79,54,182,90,46,102,71,981,31,31,1,31.65
Mid-American,Western Michigan,"Kalamazoo, MI, USA",JOSH,DAVIS,Detroit,MI, USA,125,27,42,51,21,63,39,140,74,24,138,47,881,32,32,1,27.53
Southland,Sam Houston State,"Huntsville, TX, USA",JOSH,DELANEY,Harker Heights,TX, USA,85,25,68,47,3,8,76,60,40,15,129,32,800,36,35,0.97,22.22
Big South,Winthrop,"Rock Hill, SC, USA",JOSH,FERGUSON,Miami,FL, USA,123,21,4,65,34,68,28,161,59,21,79,55,812,31,31,1,26.19
America East,Massachusetts Lowell,"Lowell, MA, USA",JOSH,GANTZ,Grove City,OH, USA,95,39,31,32,32,34,69,92,72,11,100,49,906,30,30,1,30.2
Mountain West,Nevada,"Reno, NV, USA",JOSH,HALL,Houston,TX, USA,92,21,15,43,13,43,48,93,57,17,91,42,831,37,35,0.95,22.46
Western Athletic,Seattle,"Seattle, WA, USA",JOSH,HEARLIHY,Los Angeles,CA, USA,106,18,39,107,6,24,89,108,44,25,144,85,902,34,32,0.94,26.53
America East,New Hampshire,"Durham, NH, USA",JOSH,HOPKINS,Greensboro,NC, USA,75,7,52,31,7,21,19,48,47,9,151,24,722,31,31,1,23.29
Mid-American,Central Michigan,"Mount Pleasant, MI, USA",JOSH,KOZINSKI,Edwardsburg,MI, USA,73,18,70,26,2,9,18,67,48,4,131,8,869,36,36,1,24.14
Horizon,Detroit,"Detroit, MI, USA",JOSH,MCFOLLEY,Detroit,MI, USA,118,49,53,65,2,16,48,55,74,18,171,42,804,32,32,1,25.13
West Coast,Portland,"Portland, OR, USA",JOSH,MCSWIGGAN,Loughborough,, GBR,116,17,70,46,7,20,40,96,42,8,159,39,962,32,32,1,30.06
Big Ten,Indiana,"Bloomington, IN, USA",JOSH,NEWKIRK,Raleigh,NC, USA,73,15,29,46,8,12,86,53,56,11,120,57,721,31,31,1,23.26
Southland,Lamar,"Beaumont, TX, USA",JOSH,NZEAKOR,Mesquite,TX, USA,155,28,0,102,18,101,22,145,89,66,147,59,922,33,33,1,27.94
Atlantic Coast,Georgia Tech,"Atlanta, GA, USA",JOSH,OKOGIE,Snellville,GA, USA,133,42,38,133,23,54,59,96,64,29,187,61,874,32,24,0.75,27.31
West Coast,Gonzaga,"Spokane, WA, USA",JOSH,PERKINS,Park Hill,CO, USA,156,44,83,61,3,19,196,97,94,20,199,77,1216,37,37,1,32.86
Big Ten,Penn State,"University Park, PA, USA",JOSH,REAVES,Fairfax,VA, USA,133,74,40,53,17,59,107,114,104,22,140,48,1048,39,34,0.87,26.87
Southern,Samford,"Birmingham, AL, USA",JOSH,SHARKEY,Philadelphia,PA, USA,64,46,5,86,0,11,152,52,52,28,87,97,729,32,30,0.94,22.78
Western Athletic,Grand Canyon,"Phoenix, AZ, USA",JOSHUA,BRAUN,Anthem,AZ, USA,118,26,64,89,17,47,48,83,51,31,199,49,996,34,34,1,29.29
Southland,Southeastern Louisiana,"Hammond, LA, USA",JOSHUA,FILMORE,Orlando,FL, USA,93,25,72,19,0,8,62,58,30,14,148,31,926,34,30,0.88,27.24
Big Ten,Michigan State,"East Lansing, MI, USA",JOSHUA,LANGFORD,Huntsville,AL, USA,152,13,44,62,3,28,54,77,84,11,202,52,946,35,35,1,27.03
Big Sky,Sacramento State,"Sacramento, CA, USA",JOSHUA,PATTON,Manteca,CA, USA,124,16,0,100,58,61,18,103,75,42,79,53,785,32,32,1,24.53
West Coast,Santa Clara,"Santa Clara, CA, USA",JOSIP,VRANKIC,Toronto,ON, CAN,106,31,32,67,24,35,49,98,91,27,154,67,896,31,30,0.97,28.9
America East,UMBC,"Catonsville, MD, USA",JOURDAN,GRANT,Bowie,MD, USA,85,23,38,48,9,16,87,66,55,23,125,62,821,36,34,0.94,22.81
Mountain West,UNLV,"Paradise, NV, USA",JOVAN,MOORING,Chicago,IL, USA,135,38,63,122,2,9,110,91,70,30,227,62,1077,33,33,1,32.64
Summit League,Nebraska-Omaha,"Omaha, NE, USA",JT,GIBSON,Brooklyn Park,MN, USA,113,27,57,33,4,9,81,63,58,5,145,52,878,31,31,1,28.32
Sun Belt,Troy,"Troy, AL, USA",JUAN,DAVIS,West Point,MS, USA,61,6,33,23,9,43,5,99,55,10,86,19,662,33,32,0.97,20.06
Northeast,LIU Brooklyn,"Brooklyn, NY, USA",JULIAN,BATTS,Jeannette,PA, USA,113,47,66,62,9,15,80,138,78,22,138,43,1041,35,35,1,29.74
Southwestern Athletic,Jackson State,"Jackson, MS, USA",JULIAN,DAUGHTRY,Millington,TN, USA,65,30,31,44,4,26,39,42,46,18,111,32,797,32,32,1,24.91
American Athletic,Tulsa,"Tulsa, OK, USA",JUNIOR,ETOU,Pointe Noire,, COG,145,16,42,133,8,77,47,167,64,53,165,74,942,31,31,1,30.39
Northeast,Mount St. Mary's,"Emmitsburg, MD, USA",JUNIOR,ROBINSON,Mebane,NC, USA,228,37,78,169,1,19,154,73,66,19,283,89,1162,32,32,1,36.31
America East,Stony Brook,"Stony Brook, NY, USA",JUNIOR,SAINTEL,Mays Landing,NJ, USA,88,29,6,45,24,51,19,99,63,23,108,44,685,32,32,1,21.41
Atlantic Sun,USC Upstate,"Spartanburg, SC, USA",JURE,SPAN,Litija,, SVN,92,35,48,22,6,16,132,69,75,13,140,55,897,32,32,1,28.03
Pacific 12,California,"Berkeley, CA, USA",JUSTICE,SUEING,Honolulu,HI, USA,157,48,42,86,15,48,44,124,69,42,205,68,1023,32,32,1,31.97
Ivy,Harvard,"Allston, MA, USA",JUSTIN,BASSEY,Denver,CO, USA,75,40,37,62,2,37,79,147,63,14,89,83,1021,32,31,0.97,31.91
Ohio Valley,SIU-Edwardsville,"Edwardsville, IL, USA",JUSTIN,BENTON,Memphis,TN, USA,61,15,25,23,1,14,70,41,56,11,75,42,749,30,26,0.87,24.97
Pacific 12,Utah,"Salt Lake City, UT, USA",JUSTIN,BIBBINS,Carson,CA, USA,154,45,93,118,4,13,163,91,89,17,183,71,1222,35,35,1,34.91
Atlantic Coast,Virginia Tech,"Blacksburg, VA, USA",JUSTIN,BIBBS,Dayton,OH, USA,155,19,66,35,5,5,48,71,42,12,163,37,1017,33,31,0.94,30.82
American Athletic,South Florida,"Tampa, FL, USA",JUSTIN,BROWN,Birmingham,AL, USA,62,8,35,16,2,39,24,48,57,5,111,30,658,32,32,1,20.56
Ohio Valley,Southeast Missouri State,"Cape Girardeau, MO, USA",JUSTIN,CARPENTER,Mount Carmel,IL, USA,99,13,6,51,13,58,21,83,65,25,90,35,641,31,30,0.97,20.68
Southern,Samford,"Birmingham, AL, USA",JUSTIN,COLEMAN,Birmingham,AL, USA,146,37,57,83,0,11,210,78,38,20,189,87,1040,32,32,1,32.5
Western Athletic,Cal State Bakersfield,"Bakersfield, CA, USA",JUSTIN,DAVIS,San Diego,CA, USA,80,26,24,47,2,51,25,114,67,8,96,34,652,30,30,1,21.73
Sun Belt,Appalachian State,"Boone, NC, USA",JUSTIN,FORREST,Decatur,GA, USA,147,43,66,84,2,10,65,85,69,42,252,95,924,33,33,1,28
Colonial,Towson,"Towson, MD, USA",JUSTIN,GORHAM,Baltimore,MD, USA,119,11,3,73,6,75,24,140,73,30,102,49,735,32,32,1,22.97
Big 12,Texas Tech,"Lubbock, TX, USA",JUSTIN,GRAY,Tampa,FL, USA,66,30,6,44,21,42,37,96,82,11,76,28,772,37,36,0.97,20.86
Mountain West,Wyoming,"Laramie, WY, USA",JUSTIN,JAMES,Port Saint Lucie,FL, USA,210,36,40,146,16,19,98,172,71,55,235,81,997,33,32,0.97,30.21
Patriot League,Lafayette,"Easton, PA, USA",JUSTIN,JAWORSKI,Schwenksville,PA, USA,103,14,61,46,2,6,50,58,40,8,131,36,832,31,29,0.94,26.84
Conference USA,Western Kentucky,"Bowling Green, KY, USA",JUSTIN,JOHNSON,Hazard,KY, USA,240,27,47,70,28,84,48,275,61,53,225,57,1314,38,38,1,34.58
Atlantic 10,George Mason,"Fairfax, VA, USA",JUSTIN,KIER,Grottoes,VA, USA,134,42,8,87,4,8,77,145,69,24,163,93,1094,33,33,1,33.15
Conference USA,Florida Atlantic,"Boca Raton, FL, USA",JUSTIN,MASSEY,Cooper City,FL, USA,130,15,75,94,0,14,45,54,55,26,232,34,791,31,31,1,25.52
Southeastern,South Carolina,"Columbia, SC, USA",JUSTIN,MINAYA,Harrington Park,NJ, USA,90,20,39,35,8,52,47,82,64,16,141,40,860,33,32,0.97,26.06
Colonial,William & Mary,"Williamsburg, VA, USA",JUSTIN,PIERCE,Glen Ellyn,IL, USA,163,28,47,83,19,63,75,204,57,22,162,56,980,31,31,1,31.61
Mid Eastern Athletic,Florida A&M,"Tallahassee, FL, USA",JUSTIN,RAVENEL,Lithonia,GA, USA,99,20,63,32,2,11,33,61,41,8,141,14,875,34,34,1,25.74
Atlantic Coast,Virginia Tech,"Blacksburg, VA, USA",JUSTIN,ROBINSON,Manassas,VA, USA,150,41,51,111,2,24,185,68,72,31,173,83,1020,33,33,1,30.91
Big East,St. John's,"Queens, NY, USA",JUSTIN,SIMON,Temecula,CA, USA,151,82,15,84,27,38,167,196,87,43,168,95,1190,33,33,1,36.06
Big Sky,Sacramento State,"Sacramento, CA, USA",JUSTIN,STRINGS,Carson,CA, USA,223,19,30,97,30,46,75,179,48,60,299,73,1157,32,32,1,36.16
Mid-American,Northern Illinois,"DeKalb, IL, USA",JUSTIN,THOMAS,Indianapolis,IN, USA,68,42,21,35,3,13,61,77,32,22,84,33,843,32,32,1,26.34
Atlantic 10,Virginia Commonwealth,"Richmond, VA, USA",JUSTIN,TILLMAN,Detroit,MI, USA,248,11,27,102,34,109,15,218,74,54,197,56,1006,33,33,1,30.48
Mid-American,Bowling Green,"Bowling Green, OH, USA",JUSTIN,TURNER,Detroit,MI, USA,169,47,50,104,9,26,81,87,46,24,247,74,1052,32,31,0.97,32.88
Colonial,Hofstra,"Hempstead, NY, USA",JUSTIN,WRIGHT-FOREMAN,Queens,NY, USA,264,25,96,131,7,10,100,93,49,33,324,69,1171,31,31,1,37.77
Mountain West,Boise State,"Boise, ID, USA",JUSTINIAN,JESSUP,Longmont,CO, USA,125,43,90,31,19,14,56,137,67,8,144,43,943,32,32,1,29.47
West Coast,San Diego,"San Diego, CA, USA",JUWAN,GRAY,Dover,DE, USA,73,16,16,40,26,30,20,81,62,20,78,19,683,34,34,1,20.09
Missouri Valley,Northern Iowa,"Cedar Falls, IA, USA",JUWAN,MCCLOUD,Germantown,WI, USA,67,33,18,19,2,5,62,40,42,16,122,43,673,32,26,0.81,21.03
Big Ten,Indiana,"Bloomington, IN, USA",JUWAN,MORGAN,Waynesville,MO, USA,195,37,16,106,44,84,47,144,77,62,142,51,912,31,31,1,29.42
Southeastern,Georgia,"Athens, GA, USA",JUWAN,PARKER,Tulsa,OK, USA,86,13,27,72,5,18,38,103,54,12,135,42,806,33,33,1,24.42
America East,UMBC,"Catonsville, MD, USA",K.J.,MAURA,San Juan,, PRI,123,65,64,63,0,20,166,54,42,10,139,64,1159,36,33,0.92,32.19
Missouri Valley,Evansville,"Evansville, IN, USA",K.J.,RILEY,Bronx,NY, USA,54,33,1,109,5,18,91,92,65,32,77,64,767,32,32,1,23.97
Southern,Citadel,"Charleston, SC, USA",KAELON,HARRIS,Tulsa,OK, USA,87,29,30,83,13,52,53,100,62,35,124,50,661,32,29,0.91,20.66
Sun Belt,Texas-Arlington,"Arlington, TX, USA",KAELON,WILSON,Lancaster,TX, USA,117,17,42,90,2,45,63,91,59,48,174,58,977,34,32,0.94,28.74
Metro Atlantic Athletic,Niagara,"Lewiston, NY, USA",KAHLIL,DUKES,Hartford,CT, USA,224,27,95,149,1,6,108,66,41,14,258,83,1120,33,33,1,33.94
Patriot League,Lehigh,"Bethlehem, PA, USA",KAHRON,ROSS,Jonesboro,AR, USA,147,42,38,63,5,17,127,74,54,24,146,55,983,30,30,1,32.77
Big East,Xavier,"Cincinnati, OH, USA",KAISER,GATES,Alpharetta,GA, USA,74,16,54,43,9,32,31,123,84,9,105,22,810,35,34,0.97,23.14
Ohio Valley,Tennessee Tech,"Cookeville, TN, USA",KAJON,MACK,Los Angeles,CA, USA,132,33,38,105,12,38,126,125,60,31,187,60,1107,33,32,0.97,33.55
Northeast,Fairleigh Dickinson,"Teaneck, NJ, USA",KALEB,BISHOP,Paterson,NJ, USA,107,11,8,43,15,68,18,122,66,19,101,41,701,31,30,0.97,22.61
Big East,Georgetown,"Washington, DC, USA",KALEB,JOHNSON,South Hill,VA, USA,84,18,16,54,21,47,60,78,67,19,71,43,813,30,30,1,27.1
Big Ten,Ohio State,"Columbus, OH, USA",KALEB,WESSON,Westerville,OH, USA,118,18,4,98,21,76,36,87,93,38,92,34,682,34,33,0.97,20.06
Mid Eastern Athletic,Hampton,"Hampton, VA, USA",KALIN,FISHER,Chicago,IL, USA,161,21,39,67,4,24,70,132,48,14,204,53,1024,35,34,0.97,29.26
Southland,McNeese State,"Lake Charles, LA, USA",KALOB,LEDOUX,Port Barre,LA, USA,151,13,61,51,4,20,29,102,60,12,206,65,832,29,28,0.97,28.69
Big Ten,Ohio State,"Columbus, OH, USA",KAM,WILLIAMS,Baltimore,MD, USA,106,17,42,24,5,7,25,57,34,5,109,19,733,34,31,0.91,21.56
Big East,Butler,"Indianapolis, IN, USA",KAMAR,BALDWIN,Winder,GA, USA,210,54,49,79,15,13,111,159,90,23,265,75,1191,35,35,1,34.03
Ohio Valley,Tennessee State,"Nashville, TN, USA",KAMAR,MCKNIGHT,Toronto,ON, CAN,90,23,30,44,0,8,47,63,37,18,124,46,657,30,30,1,21.9
Big 12,Kansas State,"Manhattan, KS, USA",KAMAU,STOKES,Baltimore,MD, USA,88,35,38,60,1,13,98,67,40,19,151,56,816,37,30,0.81,22.05
Horizon,Detroit,"Detroit, MI, USA",KAMERON,CHATMAN,Portland,OR, USA,183,36,60,90,11,41,61,197,65,16,205,59,945,32,29,0.91,29.53
Horizon,Green Bay,"Green Bay, WI, USA",KAMERON,HANKERSON,Novi,MI, USA,127,32,48,51,21,20,87,81,70,18,160,78,906,33,33,1,27.45
Mid Eastern Athletic,North Carolina A&T,"Greensboro, NC, USA",KAMERON,LANGLEY,Greensboro,NC, USA,88,59,15,69,4,26,177,88,53,28,83,77,1028,35,35,1,29.37
